작성자,댓글,화수,날짜,좋아요 수,연관 댓글 수
200캐시뽑기권,"""추공님.""
목소리의 주인은 납치협회장이었다.
""그렇지 않아도 연락을 드리려고 했었는데 여기서 뵙는군요.""
""또 납치입니까?""
""추공님이 생각하는 그런 용무 아닙니다.""
""아.예.""
""긴 얘기도 아닙니다.""
추공은 고개를 끄덕였다.
""혹시 나혼렙에 마약같은걸 넣습니까?""
""?""
""당신이 휴재하니 금단증상이 오더군요...""",나 혼자만 레벨업 129화,16.12.06,"3,327",42
payj90,아버지도 렙업하는 사람이면 책 제목은 우리 부자만 레벨업,나 혼자만 레벨업 68화,16.08.24,"3,229",115
J2,"의사 : 하마터면 큰일날 뻔했습니다.
진우 : 아래쪽에 감각이 전혀 없으니, 어떻게 된 거요? 내다리는 어찌 된거요
의사 : 다리가 아니오. 하필이면...  공격이... 영 좋지 않은 곳을 강타했소...
진우 : 그...그게 무슨소리오! 
의사 : 잘 알아두세요...선생은 앞으로... 아이를... 가질수가 없습니다. 다시 말해서,
곶아란 말이오. 곶아",나 혼자만 레벨업 7화,16.08.17,"3,206",150
후공죽고남은그림자,"작가님을 좋아하면 ""좋아요""를 누르시오.",나 혼자만 레벨업 191화,17.04.05,"3,170",120
추공,님들 왜 싸우고 계시죠? 진우가 검을 못 뺀 이유는 던전화 된 바닥이 콘크리트처럼 보이는 이계 물질이었기 때문입니다. 흠집을 스스로 메우려는 성질이 있는 물질이라 검이 거기에 낀 것이죠. 이것으로 한 건 해결! 감사합니다.,나 혼자만 레벨업 13화,17.01.02,"3,095",107
허이쨔,"와.. 이거 차해인죽고
주인공 각성하는 플레그 아닌감..?
일반적인 러브코미디를 찍을것같지 않은데...
폭풍전야의 이 고요하고 쌔~ 한 이 스멜~",나 혼자만 레벨업 212화,17.05.19,"3,089",212
이그니스,"미국정부 : 성진우는 내꺼다
일본정부 : 헛소리! 성진우는!!
다른나라정부 : 성진우 우리껍니다
한국정부 : 아무도 안줄겁니다.
추공 : 다 필요없고 꺼지시죠
          성진우 주인공 버프 누가 준줄 아세요?",나 혼자만 레벨업 125화,16.11.26,"3,082",86
200캐시뽑기권,"'저 사람이 추공이란 말이지'
추공의 소설에게는 나쁜 감정이 없었다.
항상 많은 분량과 좋은 스토리를 얻었다.
연참만 하고 분량은 적은 듣보잡 작가에 비하면 추공은 선믈상자나 다름없었다.
오늘은 어떤 스토리를 쏟아낼까.
꿀꺽.
독자들은 웃으며 군침을 삼켯다.",나 혼자만 레벨업 71화,16.08.29,"3,012",106
추공,이해가 안 되시는 분들은 다음 화를 보시면 알게 됩니다!! 뒷부분까지 다 넣기에는 분량도 시간도 부족했습니다 ㅠㅠ,나 혼자만 레벨업 218화,17.05.31,"2,953",266
추공,"이  부족한 작가가 200화까지 올 수 있도록 응원해주신 여러분들 정말 감사드립니다. 수요일날 다시 찾아오겠습니다, 고마워요 ㅠㅠ",나 혼자만 레벨업 200화,17.04.24,"2,872",307
갓오브블랙필드,돈좀벌었다고 초심을 잃다니.김상식의 강철검은 줏었으면서 강태식의 단검은 왜안줍는건데...,나 혼자만 레벨업 33화,16.07.29,"2,870",149
천외천,"추공 : ""독자들이어 일어나라""

독자 : ""우오오오오연참연참연참""

추공 : ""이러라고 살린게 아닌데..?""",나 혼자만 레벨업 외전 5화,17.08.18,"2,845",35
캐시가_갖고싶어!!!!!!!!,"""허락하지 않았다.""
독자들의 말을 이해하지 못한 추공이 물었다.
""뭐?""
""연참을 안하고 그냥 가도 좋다고 허락한적이 없다.""
추공이 당황할 틈도 없이.
눈을 지긋이 감은 독자는 은신처의 숨어있는 추공의 기척을 찾아 기감을 주변으로 빠르게 확장시켰다.
기감의 범위가 순식간에 한국을 넘어 세계호 뻗어나갔다.
추공이 지구상 어딘가에 숨어있든 찾을 수 있을것이",나 혼자만 레벨업 221화,17.06.07,"2,805",58
JS,뭔데 차해인보다 그림자군주랑 더애틋하냐 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,나 혼자만 레벨업 221화,17.06.07,"2,791",71
200캐시뽑기권,"'한번으론 부족한가?'
고개를 갸웃거린 추공이 볼펜을 뺏다가 다시 연참을 썻다.
'연참 찌르기'
두 개의 연참이 또한번 독자의 뒷목을 찔럿다.
연!
참!
그제야 기다리던 메세지가 떻다.
띠링.
독자: 가볍게 12연참좀
추공은 당황햇고, 독자들은 웃으며 군만두를 건넷다.",나 혼자만 레벨업 72화,16.08.31,"2,755",83
200캐시뽑기권,"""설마 납치라도 당한 건 아니겠죠?""
막 읽기 시작한 독자의 한마디.
댓글을 본 독자들은 누가 먼저라 할거 없이 피식 웃었다.
추공이 누군가.
연참을 바라는 독자들을 무참히 밟아버리는 인물이다.
한 독자가 벌을 긁적거리며 말했다.
""추공을 납치하려면  독자들 모두가 나서야 할겁니다.""
그리고 다시 말했다.
""자 이제 당신만 남았습니다. 납치를 시작하죠.""",나 혼자만 레벨업 73화,16.09.01,"2,751",706
추공,아 왜 안 올라와,나 혼자만 레벨업 67화,16.08.24,"2,745",157
후엥,용제가 몸을 차지한 평행세계인 줄 알았네..,나 혼자만 레벨업 외전 14화,17.09.11,"2,712",52
200캐시뽑기권,"""잠깐 카메라 좀 꺼주실 수 있겠습니까?""
""왜 그러시죠?""
""인공호흡좀 하려고..(부끄부끄)""",나 혼자만 레벨업 121화,16.11.21,"2,699",122
판타지최고,수호야....... 너네 할아버지랑 아버지는 단검 하나로 최강이셨다 왜 단검을 안고르니........,나 혼자만 레벨업 후일담 4화,18.03.08,"2,695",116
별빛이내린다~,"이보시게 작가양반
자네 싸움잘하는가? 여기서 끊는건
줘터지고싶다는건데 
자네가 무슨 무신인가?소드마스터인가?
여래신장이라도 익혓는가?",나 혼자만 레벨업 217화,17.05.29,"2,653",106
추공,헉 아직 안 끝났습니다?? 몇 편 더 남았다구요...,나 혼자만 레벨업 외전 19화,17.10.02,"2,638",301
200캐시뽑기권,"'추공이 지각을 안해? 게다가 오히려 빨리 올렸다고?'
이런 일은 지금까지 없었다.
분명 추공은 지각 전과 13범인데 어째서..
""협회장님?""
""프로지각ㄹ..아니 추공은 어디에 있나?""
""사라졌습니다.""
""사라졌다고?""
추공을 감시하고 있는 그 많은 독자가 추공을 놓칠 수 있단 말인가?
무엇보다도 그는 추공이 좋아요를 안누르는 이 기현상을 이해할 수 없었다",나 혼자만 레벨업 120화,16.11.18,"2,597",56
한밤,와 진짜ㅠㅠㅠㅠ다 기억하는구나ㅠㅠㅠ,나 혼자만 레벨업 외전 10화,17.09.01,"2,587",35
200캐시뽑기권,"작가님이 자꾸 솔플 길드를 강조하시는 것 같은데 사실 '솔로 플레이' 길드가 아니라 '솔로들의 플레이라운드'의 약자인 것 같은데..
결론 : 작가는 대마법사로 추정",나 혼자만 레벨업 136화,16.12.17,"2,586",71
베르,드디어 내가 나왔어! 아이언 돌아와라!,나 혼자만 레벨업 외전 17화,17.09.22,"2,575",278
남승현,난 ....... 베뎃이 되고싶다 베뎃... 그것은 나의 희망 베뎃..... 그것은 나의 바람.... 항상 이루고 싶은 꿈은 베뎃이다...,나 혼자만 레벨업 232화,17.06.30,"2,574","1,078"
ㅇㅅㅇ,"지금까지 나 혼자만 레벨업을 구독해 주셔서 감사합니다.
지금부터는 나 혼자만 네크로멘서가 연재 됩니다.",나 혼자만 레벨업 51화,16.10.14,"2,563",44
추공,요즘 들어 분량이 작아보이는 건 제가 마감 시간에 시달리고 있기 때문입니다. 아...하루가 48시간이면 좋겠다...,나 혼자만 레벨업 148화,17.01.03,"2,559",240
역시내성적표는잘못됏다,"토마스 그림자돼면 기차돼려나 ""토마스와 친구들 기차를 끌고밀고""",나 혼자만 레벨업 192화,17.04.06,"2,540",191
친구팔아서대여권200장,지금까지 나 혼자만 레벨업을 봐주셔서 감사합니다 이제부터 우리 부자만 레벨업이 시작합니다,나 혼자만 레벨업 후일담 4화,18.03.08,"2,511",106
곰도령,"눈치있는 사람은 산다더니..
저 여자 사회생활S급 능력자군..",나 혼자만 레벨업 59화,16.08.13,"2,486",54
폭풍저그콩진호,"'망햇어요'
공허한 목소리가 울려퍼졌다.

추공은 시계를 보앗다.
11시46분

이미 독자들의 분노를 예상하며 몸을 떨었다.

문이 열리며 독자가 들어오고 추공은 자신의 끝을 직감했다.


그리고 눈을 감았다.
그러나.

""이럴수가! 추공이 휴제를 안했어!""
""추공 만세!나혼업 꿀잼!""

처음 들어보는 따듯한 목소리.
추공의 두 눈에는 이미 눈물이 흘렀다.",나 혼자만 레벨업 164화,17.02.06,"2,476",139
베르,"나의 주군이시여!
My lord!
私主君よ!
我的主啊！
Mein Herr!
Эзэн минь!
हे भगवान!
Мой господин! 
Monseigneur!
يا سيدي!",나 혼자만 레벨업 외전 12화,17.09.06,"2,453",209
천외천,"추공님.. 완결이라.. 그동안 정말 수고하셨습니다! ㅎㅎ

1화부터 심상치 않았지만, 이렇게 제가 좋아하는 소설 마지막화를 보니 뭔가 시원 섭섭하네요..

다음 작품으로 빨리 오시길..

기다리겠습니다!",나 혼자만 레벨업 외전 21화(완결),17.10.06,"2,443",27
베르,"제가 힐을 잘합니다.
힐러에요 힐러
지구의 성자가 바로 접니다",나 혼자만 레벨업 외전 20화,17.10.04,"2,417",134
200캐시뽑기권,"<모든 아이템 중에서 하나를 선택 할 수 있습니다>
<원하는 아이템이 있습니까?>
원하는 아이템이라.
당현이 있었다.
퀘스트를 처음 봤을 때부터 독자들은 생각해둔 아이템이 있었다.
<모든 아이템 중에서 하나를 선택 할 수 있습니다>
<원하는 아이템이 있습니까?>
시스템이 재촉하듯 물었다.
고민 끝에 독자들은 만장일치로 말했다.
""저주받은 추공의 연참생성기""",나 혼자만 레벨업 74화,16.09.02,"2,414",60
추공,글이 늦어져서 정말 죄송합니다. 믿기 힘드시겠지만 일요일부터 월요일까지 오른팔에 마비 증상이 와서 팔을 제대로 쓸 수가 없었습니다. 저도 깜짝 놀랐습니다. 하지만 다행히 어제부터는 상태가 호전되어 지금은 정상으로 돌아왔습니다. 그동안 걱정해주시는 분들의 댓글을 보면서 얼마나 감사했는지 모릅니다. 앞으로 좋은 글로 보답하겠습니다.,나 혼자만 레벨업 126화,16.11.30,"2,403",210
추공,헉 유리는 러시아의 남성 이름 중 하나입니다...,나 혼자만 레벨업 153화,17.01.12,"2,386",172
추공,군대가시는 독자분 약속은 지켰습니다 안녕히 다녀오세요!,나 혼자만 레벨업 163화,17.02.05,"2,384",158
추공,"제가 생각해봤는데 연참을 하려는 노력으로 매주 1, 2회 있었던 무단 휴재를 없애고 있으니 이것이야 말로 진정한 의미의 연참, 즉 끊기지 않는 연재 아니겠습니까? (뻔뻔)",나 혼자만 레벨업 101화,16.10.19,"2,384",197
현질러,와 씨 잘려고 하다가 알람뜨길레 내가 환각보는줄 알았는데 아니었네,나 혼자만 레벨업 후일담 1화,18.03.05,"2,365",83
폭풍저그콩진호,"""나는 누구냐""추공이 물엇다
그말에 독자들은 고민햇다.
그를 무엇이라 불러야 하는가.

노예?연참기계?올드보이?
그 어떤 말조차 추공에게는 어울리지 않았다.

결국 독자는결정을 내렷다.

""넌 비축분이다""

추공의 비명소리가 신전 안을 가득 채웠다.",나 혼자만 레벨업 158화,17.01.20,"2,362",536
추콩,"추공을 납치하자......추공을 납치하자......
추공을 납치하자......추공을 납치하자......
추공을 납치하자......추공을 납치하자......
추공을 납치하자......추공을 납치하자......
추공을 납치하자......추공을 납치하자......
추공을 납치하자......추공을 납치하자......
추공을 납치하자......추공을 납치하자....",나 혼자만 레벨업 172화,17.02.21,"2,360",145
닥치고앵겨,"나한테 준다는 건물 얼마라고했지?
아 그거요?
요즘 땅값이 올라서 400억쯤 될걸요?  아마 형님한테 줄때는 더오르겠죠?",나 혼자만 레벨업 41화,16.10.17,"2,358",61
Tenzo,셀너 부인 : 성진우 헌터께서는 한계가 존재하지 않으십니다,나 혼자만 레벨업 130화,16.12.07,"2,357",95
kkkkk,국어...넌 날 배신했다 영어 너도 날 배신했어....날 알아주는 애들은 수학 사탐 너희바께 없었어.....고맙다 대학가게 해줘서,나 혼자만 레벨업 119화,16.11.17,"2,356",101
추공,나혼렙 웹툰 런칭을 기념하여 후일담 연재가 시작됩니다!! 소설도 웹툰도 많이 사랑해주세요!!,나 혼자만 레벨업 후일담 2화,18.03.05,"2,347",266
Mr.하,"와..ㅋㅋㅋㅋ 패널티존에서 살아남으면 다시 저 던전으로 가는건가? 패널티존에서 생존한것도 시간으로 쳐주면 대박인데ㅋㅋ

근데 목요일 동생 학교가는건 갈수 있으려나?",나 혼자만 레벨업 49화,16.08.03,"2,341",36
200캐시뽑기권,"동네를 순찰하던 그림자 병사는 지나가던 고건희에 의해 소멸된지 오래였고 진우는 그림자 속에서 벗어나지 못하고 죽고 만다.
-the end-
작가의 말 : 지금까지 '나 혼자만 레벨업'을 사랑해주셔서 감사합니다. 다음주는 외전이 연재됩니다.",나 혼자만 레벨업 108화,16.10.31,"2,322",76
서민,드래곤 카미쉬 사냥한지 8년  토마스언급 8년 역시 저의 예상이 맞네요  단검의 이름은 카미쉬의 이빨이지않을까요,나 혼자만 레벨업 202화,17.04.28,"2,318",138
fh,일본에서 발견된 백색 성채ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,나 혼자만 레벨업 235화,17.07.12,"2,315",59
200캐시뽑기권,"갑자기 여기저기서 폰이 울려 대기 시작했다.
""뭐지?""
처음에는 황급히 전화를 껐던 독자들도 이쯤되자 뭔가 이상하다는 사실을 눈치챘다.
알람 내용을 확인한 독자들의 눈이 커졌다.
""추공이 연참을 했다고?""
독자들은 급하게 카카오페이지로 들어갔다.
그러자 사전에 준비해 뒀다는 듯이 비축분과 공지가 떠있었다.
         <공지> 
추공#납치#성공적",나 혼자만 레벨업 94화,16.10.10,"2,301",224
추공,자고 일어났더니 왠일... 제가 실수로 파일을 잘못 넘기는 바람에 재미없어서 못 올리겠다던 첫번째 파일이 올라갔습니다 곧 제대로 된 파일이 올라오겠지만 실수로 올린 화도 반응이 좋네요...? 다시 올라간 파일 반응이 안 좋으면 저 괜히 다시 쓴 게 되나요... 어찌됐든 요즘 잘 안 풀리네요 자다가 이제 발견했습니다 죄송합니다  ㅠㅠ,나 혼자만 레벨업 84화,16.09.27,"2,291",82
짜응,한국 헌터협회 회장실을 잘못봐서 한국 헌터협회 화장실로봄ㅋㅋㅋㅋㅋㅋ 고건희회장님이 왜 화장실에서 업무를 보고계신가 이 생각하다가 혼자빵터짐ㅋㅋㅋㅋㅋㅋㅋ,나 혼자만 레벨업 199화,17.04.21,"2,283",201
추공,"Q. 후일담 연재 일정은 어떻게 되나요? 
A. 아직 미정입니다 곧 공지하겠습니다 

Q. 신작은 안 쓰시나요? 
A. 신작은 준비중입니다 후일담은 이벤트성 연재에요!! 

Q. 웹툰과 소설 왜 다른점이 있나요? 
A. 웹툰은 만화 작가님의 권한입니다!! 소설과 만화의 차이점을 찾는 것도 재미가 아닐까요? 

늘 나혼렙을 사랑해주셔서 감사합니다!!",나 혼자만 레벨업 후일담 3화,18.03.06,"2,272",189
이그니스,"나혼업의 특징
1. 프로휴재러답게 뜬금없이 휴재한다.
2. 휴재하고 8시쯤부터 업데이트한다.
3. 200캐시의 외전이 있다.
4. 소설페이지가 짧게 느껴진다.
(29페이지가 10페이지로 느껴질수도;)
5. 절단신공 레벨이 너무 높다.
6. 작가가 일일 좋아요 및 댓글을 단다.
아시는것 있으면 추가로 댓글 달아주세요~",나 혼자만 레벨업 149화,17.01.05,"2,272",236
연참학개론,"으어어어 
작가님 까짓거 기억 있는사람 몇명 더만들죠
저희의 만족을 위해  (찡긋)",나 혼자만 레벨업 외전 11화,17.09.04,"2,263",74
츄공,안녕하세요 추굥입니다,나 혼자만 레벨업 138화,16.12.19,"2,263",169
12다음,아빠는 예상 1도못했다 진짜 ㅋㅋㅋㅋ,나 혼자만 레벨업 68화,16.08.24,"2,243",36
200캐시뽑기권,"""왜 맨날 지각을 하는 거냐?'
""왜? 설교라도 하시게?""
""무슨 이유라도 있는지 궁금해서.""
추공은 코웃음 쳤다.
""이유는 무슨. 굳이 찾는다면..재밌으니까?""
""재미?""
""나는 이상하게 독자들이 나한테 연참해달라고 하면 지각하고 싶다는 말.""
..이지.
추공은 말을 잇지 못했다.
그의 입에 군만두가 들어오기 시작했고 곧이어 분노한 독자들에게 끌려갔다.",나 혼자만 레벨업 114화,16.11.09,"2,237",41
붉은눈,네크 ㅋㅋㅋㅋㅋㅋㅋ 난 사신 일줄 알았더니 ㅋㅋㅋㅋㅋ,나 혼자만 레벨업 51화,16.08.05,"2,221",86
봵둟,나 그B급헌터 만나는 줄 알았는데...,나 혼자만 레벨업 211화,17.05.17,"2,217",245
200캐시뽑기권,"""잠시 저 좀 보시죠.""
추공이 가던 걸음을 멈추고 돌아보았다.
'이 남자가 추공..'
추공의 얼굴을 들여다보던 독자의 눈이 빛났다.
눈만 마두쳤는데도 추공의 필력을 알 수 있었다. 틀림없는 최상급 작가. 내일을 기다릴 여유따윈 없었다.
독자는 음흉한 미소를 지으며 말했다.
""연참시 한 편당 200.""
""거절한다.""
""왜지?""
""편당 1000이하는 가라.""",나 혼자만 레벨업 77화,16.09.07,"2,213",124
가을바람,"진우의 그림자 병사들은 지금 최소가 A급 헌터 상위급일텐데 특히 정예기사 이상인 이그리트나 어금니, 베르는 S급 헌터고 마력이 허락하는한 무한히 회복하기에 이미 진우는 혼자서 대한민국 헌터 전원을 합친 것 보다 강한데 그리고 거인적 하나라도 죽이면 그 다음은 그림자 병사로 만들어서 반복하면 끝",나 혼자만 레벨업 170화,17.02.16,"2,179",111
나호삼,월요일 개강인데 배뎃이된다면 학교바지벗고 등교하겠습니닷,나 혼자만 레벨업 179화,17.03.03,"2,174",534
,헐,나 혼자만 레벨업 224화,17.06.14,"2,161",138
SaSa,황동수 웃기는 놈이네. 지 형 죽은 놈은 죽일놈이고 지형이 죽인건 그럼 뭐냐? ㄷㄷ,나 혼자만 레벨업 36화,16.07.25,"2,150",159
베르,"있어도 없는 듯이
옆에서 외로워라

없어도 있는 듯이
앞에서 즐거워라

있어 살고 싶고
없어 죽고 싶어도

없고 있고
속으로만
빈 가슴이여.

오늘은 이 시가 마음에 듭니다
내일이 나혼업 완결이라니..",나 혼자만 레벨업 외전 18화,17.09.26,"2,145",60
치킨,토마스와 친구들 교통사고남,나 혼자만 레벨업 194화,17.04.08,"2,124",105
이그니스,"그렇게 그리드는
아이템제작을 하는 그림자병사가 됐다.",나 혼자만 레벨업 193화,17.04.07,"2,117",70
추공,연재한다 해놓고 안 한 적도 많았는데 연재 안 한다 하고 연재 하는 날도 있어야죠. 모두 좋은 주말 보내세요! 그리고 사칭분은 그만 좀 ㅠㅠ,나 혼자만 레벨업 190화,17.03.31,"2,115",255
익명,"가랏 베르! 너로 정했다!
베르베르!",나 혼자만 레벨업 216화,17.05.26,"2,098",36
(히죽),"ㅋㅋ 이런거 하면 안되지만 못 참겟다...

사막 독이빨 벌레에서 생존하느라 솨솨솨",나 혼자만 레벨업 10화,16.08.04,"2,081",153
200캐시뽑기권,"""근데 저 작가분은 여기 왜 와 있는 거야?""
""예? 지금 지원자 한분이 와계십니다.""
200캐시의 눈이 커졌다.
""지원자?""
""네. 형님.""
200캐시는 독자들의 말이 끝나기가 무섭게 성큼성큼 걸어가 회의실 문을 열었다.
""이봐요, 당신. 대체 무슨 생각입니까?""
그러자 그를 가만히 쳐다보고 있던 영비람이 말했다.
""추공납치협회... 가입하려고요.""",나 혼자만 레벨업 132화,16.12.10,"2,059",81
추공,"금요일 저녁 10시, 나 혼자만 레벨업의 마지막 화가 연재됩니다!! 그럼 금요일에 찾아 뵙겠습니다!!",나 혼자만 레벨업 242화,17.07.26,"2,050",479
치킨제국,"맙소사....
산전수전 다 겪어본  독자역시 놀라움을 금치 못했다.
추공의 손끝.
비축분 전체에서 군만두 향기가 스멀스멸 올라오고 있었던 것이다.
'독자가 내 첫 연참에 반응하고 있어'
단순히 향기만 올라오고 있는것이 아니였다.
방금전까지 악플을 달던 독자들의 비난이 순식간에 사라졌다.
마치 읽으며  할말을 잃은것처럼...",나 혼자만 레벨업 208화,17.05.10,"2,048",63
뀨냥,"지금까지
나혼자 레벨업!을 사랑해주셔서 감사합니다",나 혼자만 레벨업 28화,16.10.07,"2,023",139
04,"게이트 앞 소풍

헌터 10명이 소풍을 왔어요.

5명은 고스톱을 치고 1명은 혼자 놀고 2명은 잠을 자고 나머지 두 명은 심심하다고 게이트 안에 들어가서 괴물들을 싹다 죽이고 왔어요.

그리고 다음 장소로 갔어요 ㅎ",나 혼자만 레벨업 38화,16.12.03,"1,999",90
200캐시뽑기권,"""너 머릿속에서 계속 작가를 납치하라는 목소리가 들려?""
""예?""
그가 고개를 들고 빤히 쳐다봤다.
추공은 다시금 질문했다.
""머릿속에서 누군가가 계속 작가들을 납치하라고 속삭이느냔 말이야.""
""아..""
고민하던 그가 입을 열었다.
""아니요. 하지만 다른 목소리라면 계속 들려옵니다.""
""어떤?""
""당신을 납치하라고요..""
곧이어 그가 추공에게 달려들었다.",나 혼자만 레벨업 102화,16.10.20,"1,994",47
200캐시뽑기권,"경찰서에 급한 전화가 한통 걸려왔다.
아직 앳된 청년의 목소리.
-거..거기 경찰이죠?
""네, 말씀하세요.""
-여기 지금 저희 집인데... 흐흑, 밖에 괴물들이 있어요.
""혹시 그 괴물들.. 사람같지 않습니까?""
-그..몸은 인간인데 다들 마약을 팔았냐느니 헛소리를..
""거기서 도망치세요! 그들은..""
그때.
문이 부서지며 함성소리가 났다.
""다음화아아!""",나 혼자만 레벨업 140화,16.12.21,"1,990",66
추공,너무 늦어져서 죄송합니다... 사실 어제도 썼지만 열이 심한 상태에서 써서 많이 엉망인지 담당자님께서 이건 아닌거 같다고... 저도 동의했기 때문에 새로 싹 고쳐서 올립니다. 걱정해주신 분들 감사합니다.,나 혼자만 레벨업 135화,16.12.16,"1,986",151
200캐시뽑기권,"'어?'
독자가 추공에게 고개를 돌렸다.
있을 수 없는 일.
""저기, 잠깐만요.""
""네?""
""잠깐 저 좀 봐요.""
이 사람이 왜 이러지?
""왜..그러시죠?""
독자는 대꾸도 없이 추공의 근처에서 가볍게 숨을 들이마셨다.
'뭐지?'
추공은 영문을 알 수가 없었다.
'냄새는 왜 맞는 거야?'
독자는 당황했다.
'연참의 냄새가.. 안나'
""당신..작가 맞아요?""",나 혼자만 레벨업 83화,16.09.20,"1,985",91
추겅,"추공님납치당했다!!!!
구하러가지말자!!!",나 혼자만 레벨업 172화,17.02.21,"1,974",85
