novel,comment
나 혼자만 레벨업 - 웹소설 | 카카오페이지,"-내래 많은시간을 신중히 고민해봤는데... 아무래도 이번일은 추공동무를 돕는것이 좋겠다는 결론이 났소.
""뭘...뭘 돕는다는 겁니까?""
""련참을"""
나 혼자만 레벨업 - 웹소설 | 카카오페이지,정말로 감사했습니다!! 저는 이제 새로운 작품으로 다시 오겠습니다. 그때까지 다들 안녕히 계세요!!
나 혼자만 레벨업 - 웹소설 | 카카오페이지,토마스와 친구들 교통사고남
나 혼자만 레벨업 - 웹소설 | 카카오페이지,수호야....... 너네 할아버지랑 아버지는 단검 하나로 최강이셨다 왜 단검을 안고르니........
나 혼자만 레벨업 - 웹소설 | 카카오페이지,"""잠깐 카메라 좀 꺼주실 수 있겠습니까?""
""왜 그러시죠?""
""인공호흡좀 하려고..(부끄부끄)"""
나 혼자만 레벨업 - 웹소설 | 카카오페이지,"지금까지 나 혼자만 레벨업을 구독해 주셔서 감사합니다.
지금부터는 나 혼자만 네크로멘서가 연재 됩니다."
나 혼자만 레벨업 - 웹소설 | 카카오페이지,"음 3번 외치고 화가났다라는건
그림자로 만들려다 3번다실패해서 망했다는건가욬ㅋㅋ"
나 혼자만 레벨업 - 웹소설 | 카카오페이지,자고 일어났더니 왠일... 제가 실수로 파일을 잘못 넘기는 바람에 재미없어서 못 올리겠다던 첫번째 파일이 올라갔습니다 곧 제대로 된 파일이 올라오겠지만 실수로 올린 화도 반응이 좋네요...? 다시 올라간 파일 반응이 안 좋으면 저 괜히 다시 쓴 게 되나요... 어찌됐든 요즘 잘 안 풀리네요 자다가 이제 발견했습니다 죄송합니다  ㅠㅠ
나 혼자만 레벨업 - 웹소설 | 카카오페이지,"'저 사람이 추공이란 말이지'
추공의 소설에게는 나쁜 감정이 없었다.
항상 많은 분량과 좋은 스토리를 얻었다.
연참만 하고 분량은 적은 듣보잡 작가에 비하면 추공은 선믈상자나 다름없었다.
오늘은 어떤 스토리를 쏟아낼까.
꿀꺽.
독자들은 웃으며 군침을 삼켯다."
나 혼자만 레벨업 - 웹소설 | 카카오페이지,글이 늦어져서 정말 죄송합니다. 믿기 힘드시겠지만 일요일부터 월요일까지 오른팔에 마비 증상이 와서 팔을 제대로 쓸 수가 없었습니다. 저도 깜짝 놀랐습니다. 하지만 다행히 어제부터는 상태가 호전되어 지금은 정상으로 돌아왔습니다. 그동안 걱정해주시는 분들의 댓글을 보면서 얼마나 감사했는지 모릅니다. 앞으로 좋은 글로 보답하겠습니다.
나 혼자만 레벨업 - 웹소설 | 카카오페이지,"아무도 언급안해서 작가가 직접 밝히는 비하인드 스토리: 진우가 받았던 칭호 늑대학살자, 악마사냥꾼의 공통점은 바로..."
나 혼자만 레벨업 - 웹소설 | 카카오페이지,그림자 군단이라 쓰고 실제로는 진우빠돌이라고 한다
나 혼자만 레벨업 - 웹소설 | 카카오페이지,아니야... 비번은 부르는거 아니야...!! 그러지마ㅏㅏㅏㅏㅏㅏ
나 혼자만 레벨업 - 웹소설 | 카카오페이지,국어...넌 날 배신했다 영어 너도 날 배신했어....날 알아주는 애들은 수학 사탐 너희바께 없었어.....고맙다 대학가게 해줘서
나 혼자만 레벨업 - 웹소설 | 카카오페이지,용제가 몸을 차지한 평행세계인 줄 알았네..
나 혼자만 레벨업 - 웹소설 | 카카오페이지,"'한번으론 부족한가?'
고개를 갸웃거린 추공이 볼펜을 뺏다가 다시 연참을 썻다.
'연참 찌르기'
두 개의 연참이 또한번 독자의 뒷목을 찔럿다.
연!
참!
그제야 기다리던 메세지가 떻다.
띠링.
독자: 가볍게 12연참좀
추공은 당황햇고, 독자들은 웃으며 군만두를 건넷다."
나 혼자만 레벨업 - 웹소설 | 카카오페이지,여기가 글 대신 마약을 판다는 유우명한 곳입니까?
나 혼자만 레벨업 - 웹소설 | 카카오페이지,"안녕하세요, 추공입니다. 독자분들께 인사를 드릴 때마다 얼마나 떨리는지 모릅니다. '나 혼자만 레벨업'은 그런 조심스런 마음으로 즐거움을 드리고자 쓴 글입니다. 부디 제 노력이 헛되지 않았으면 좋겠습니다. 열심히 쓰겠습니다! 감사합니다!"
나 혼자만 레벨업 - 웹소설 | 카카오페이지,"작가님을 좋아하면 ""좋아요""를 누르시오."
나 혼자만 레벨업 - 웹소설 | 카카오페이지,나혼렙 웹툰 런칭을 기념하여 후일담 연재가 시작됩니다!! 소설도 웹툰도 많이 사랑해주세요!!
나 혼자만 레벨업 - 웹소설 | 카카오페이지,"잠만 알람지옥좀 처음이자 
마지막임 나혼렙완결에 베뎃되고 싶음"
나 혼자만 레벨업 - 웹소설 | 카카오페이지,뭔데 차해인보다 그림자군주랑 더애틋하냐 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
나 혼자만 레벨업 - 웹소설 | 카카오페이지,사실 이 사람은 연재가 됐을때 기쁨을 주기위해 휴재를 하는게 틀림없어
나 혼자만 레벨업 - 웹소설 | 카카오페이지,"<모든 아이템 중에서 하나를 선택 할 수 있습니다>
<원하는 아이템이 있습니까?>
원하는 아이템이라.
당현이 있었다.
퀘스트를 처음 봤을 때부터 독자들은 생각해둔 아이템이 있었다.
<모든 아이템 중에서 하나를 선택 할 수 있습니다>
<원하는 아이템이 있습니까?>
시스템이 재촉하듯 물었다.
고민 끝에 독자들은 만장일치로 말했다.
""저주받은 추공의 연참생성기"""
나 혼자만 레벨업 - 웹소설 | 카카오페이지,"옛 노예를 보았습니다
포획하시겠습니까?"
나 혼자만 레벨업 - 웹소설 | 카카오페이지,"""나는 누구냐""추공이 물엇다
그말에 독자들은 고민햇다.
그를 무엇이라 불러야 하는가.

노예?연참기계?올드보이?
그 어떤 말조차 추공에게는 어울리지 않았다.

결국 독자는결정을 내렷다.

""넌 비축분이다""

추공의 비명소리가 신전 안을 가득 채웠다."
나 혼자만 레벨업 - 웹소설 | 카카오페이지,연재 중단만 하지 말아주세요
나 혼자만 레벨업 - 웹소설 | 카카오페이지,아빠는 예상 1도못했다 진짜 ㅋㅋㅋㅋ
나 혼자만 레벨업 - 웹소설 | 카카오페이지,"""왜 맨날 지각을 하는 거냐?'
""왜? 설교라도 하시게?""
""무슨 이유라도 있는지 궁금해서.""
추공은 코웃음 쳤다.
""이유는 무슨. 굳이 찾는다면..재밌으니까?""
""재미?""
""나는 이상하게 독자들이 나한테 연참해달라고 하면 지각하고 싶다는 말.""
..이지.
추공은 말을 잇지 못했다.
그의 입에 군만두가 들어오기 시작했고 곧이어 분노한 독자들에게 끌려갔다."
나 혼자만 레벨업 - 웹소설 | 카카오페이지,"나한테 준다는 건물 얼마라고했지?
아 그거요?
요즘 땅값이 올라서 400억쯤 될걸요?  아마 형님한테 줄때는 더오르겠죠?"
나 혼자만 레벨업 - 웹소설 | 카카오페이지,드래곤 카미쉬 사냥한지 8년  토마스언급 8년 역시 저의 예상이 맞네요  단검의 이름은 카미쉬의 이빨이지않을까요
나 혼자만 레벨업 - 웹소설 | 카카오페이지,"'추공이 지각을 안해? 게다가 오히려 빨리 올렸다고?'
이런 일은 지금까지 없었다.
분명 추공은 지각 전과 13범인데 어째서..
""협회장님?""
""프로지각ㄹ..아니 추공은 어디에 있나?""
""사라졌습니다.""
""사라졌다고?""
추공을 감시하고 있는 그 많은 독자가 추공을 놓칠 수 있단 말인가?
무엇보다도 그는 추공이 좋아요를 안누르는 이 기현상을 이해할 수 없었다"
나 혼자만 레벨업 - 웹소설 | 카카오페이지,요즘 들어 분량이 작아보이는 건 제가 마감 시간에 시달리고 있기 때문입니다. 아...하루가 48시간이면 좋겠다...
나 혼자만 레벨업 - 웹소설 | 카카오페이지,"나혼업의 특징
1. 프로휴재러답게 뜬금없이 휴재한다.
2. 휴재하고 8시쯤부터 업데이트한다.
3. 200캐시의 외전이 있다.
4. 소설페이지가 짧게 느껴진다.
(29페이지가 10페이지로 느껴질수도;)
5. 절단신공 레벨이 너무 높다.
6. 작가가 일일 좋아요 및 댓글을 단다.
아시는것 있으면 추가로 댓글 달아주세요~"
나 혼자만 레벨업 - 웹소설 | 카카오페이지,헉 아직 안 끝났습니다?? 몇 편 더 남았다구요...
나 혼자만 레벨업 - 웹소설 | 카카오페이지,"으어어어 
작가님 까짓거 기억 있는사람 몇명 더만들죠
저희의 만족을 위해  (찡긋)"
나 혼자만 레벨업 - 웹소설 | 카카오페이지,"의사 : 하마터면 큰일날 뻔했습니다.
진우 : 아래쪽에 감각이 전혀 없으니, 어떻게 된 거요? 내다리는 어찌 된거요
의사 : 다리가 아니오. 하필이면...  공격이... 영 좋지 않은 곳을 강타했소...
진우 : 그...그게 무슨소리오! 
의사 : 잘 알아두세요...선생은 앞으로... 아이를... 가질수가 없습니다. 다시 말해서,
곶아란 말이오. 곶아"
나 혼자만 레벨업 - 웹소설 | 카카오페이지,돈좀벌었다고 초심을 잃다니.김상식의 강철검은 줏었으면서 강태식의 단검은 왜안줍는건데...
나 혼자만 레벨업 - 웹소설 | 카카오페이지,"제가 힐을 잘합니다.
힐러에요 힐러
지구의 성자가 바로 접니다"
나 혼자만 레벨업 - 웹소설 | 카카오페이지,"있어도 없는 듯이
옆에서 외로워라

없어도 있는 듯이
앞에서 즐거워라

있어 살고 싶고
없어 죽고 싶어도

없고 있고
속으로만
빈 가슴이여.

오늘은 이 시가 마음에 듭니다
내일이 나혼업 완결이라니.."
나 혼자만 레벨업 - 웹소설 | 카카오페이지,추공: 여기까지 프롤로그 였습니다
나 혼자만 레벨업 - 웹소설 | 카카오페이지,헉 유리는 러시아의 남성 이름 중 하나입니다...
나 혼자만 레벨업 - 웹소설 | 카카오페이지,"""설마 납치라도 당한 건 아니겠죠?""
막 읽기 시작한 독자의 한마디.
댓글을 본 독자들은 누가 먼저라 할거 없이 피식 웃었다.
추공이 누군가.
연참을 바라는 독자들을 무참히 밟아버리는 인물이다.
한 독자가 벌을 긁적거리며 말했다.
""추공을 납치하려면  독자들 모두가 나서야 할겁니다.""
그리고 다시 말했다.
""자 이제 당신만 남았습니다. 납치를 시작하죠."""
나 혼자만 레벨업 - 웹소설 | 카카오페이지,"토마스 그림자돼면 기차돼려나 ""토마스와 친구들 기차를 끌고밀고"""
나 혼자만 레벨업 - 웹소설 | 카카오페이지,"""허락하지 않았다.""
독자들의 말을 이해하지 못한 추공이 물었다.
""뭐?""
""연참을 안하고 그냥 가도 좋다고 허락한적이 없다.""
추공이 당황할 틈도 없이.
눈을 지긋이 감은 독자는 은신처의 숨어있는 추공의 기척을 찾아 기감을 주변으로 빠르게 확장시켰다.
기감의 범위가 순식간에 한국을 넘어 세계호 뻗어나갔다.
추공이 지구상 어딘가에 숨어있든 찾을 수 있을것이"
나 혼자만 레벨업 - 웹소설 | 카카오페이지,"추공 : ""독자들이어 일어나라""

독자 : ""우오오오오연참연참연참""

추공 : ""이러라고 살린게 아닌데..?"""
나 혼자만 레벨업 - 웹소설 | 카카오페이지,네크 ㅋㅋㅋㅋㅋㅋㅋ 난 사신 일줄 알았더니 ㅋㅋㅋㅋㅋ
나 혼자만 레벨업 - 웹소설 | 카카오페이지,지금까지 나 혼자만 레벨업을 봐주셔서 감사합니다 이제부터 우리 부자만 레벨업이 시작합니다
나 혼자만 레벨업 - 웹소설 | 카카오페이지,님들 왜 싸우고 계시죠? 진우가 검을 못 뺀 이유는 던전화 된 바닥이 콘크리트처럼 보이는 이계 물질이었기 때문입니다. 흠집을 스스로 메우려는 성질이 있는 물질이라 검이 거기에 낀 것이죠. 이것으로 한 건 해결! 감사합니다.
나 혼자만 레벨업 - 웹소설 | 카카오페이지,나 그B급헌터 만나는 줄 알았는데...
나 혼자만 레벨업 - 웹소설 | 카카오페이지,베르의 기억 편을 원하시는 분들이 많으셔서 특별히 번외편으로 구성해보았습니다. 감사합니다!!
나 혼자만 레벨업 - 웹소설 | 카카오페이지,"헉... 10시 예약해달라고 했는데 편집부에서 실수가 있었던 모양입니다... 그리고 후기에 모자란 1%는 에디슨 씨가 말씀하셨죠, 영감입니다 ^^ 환불 방법은 공지로 올려뒀구요 저는 그럼 외전으로 다시 찾아오겠습니다!!"
나 혼자만 레벨업 - 웹소설 | 카카오페이지,번외편이라 죄송합니다... 최근 너무 무거운 내용만 연속이어서 코믹한 분위기로 한번 써보고 싶었습니다. 늘 감사합니다!!
나 혼자만 레벨업 - 웹소설 | 카카오페이지,드디어 내가 나왔어! 아이언 돌아와라!
나 혼자만 레벨업 - 웹소설 | 카카오페이지,어금니 귀여웤ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
나 혼자만 레벨업 - 웹소설 | 카카오페이지,"와.. 이거 차해인죽고
주인공 각성하는 플레그 아닌감..?
일반적인 러브코미디를 찍을것같지 않은데...
폭풍전야의 이 고요하고 쌔~ 한 이 스멜~"
나 혼자만 레벨업 - 웹소설 | 카카오페이지,"추공님.. 완결이라.. 그동안 정말 수고하셨습니다! ㅎㅎ

1화부터 심상치 않았지만, 이렇게 제가 좋아하는 소설 마지막화를 보니 뭔가 시원 섭섭하네요..

다음 작품으로 빨리 오시길..

기다리겠습니다!"
나 혼자만 레벨업 - 웹소설 | 카카오페이지,내가 나왔어... 내가 나왔다구! 왕이시여!!!
나 혼자만 레벨업 - 웹소설 | 카카오페이지,"와..ㅋㅋㅋㅋ 패널티존에서 살아남으면 다시 저 던전으로 가는건가? 패널티존에서 생존한것도 시간으로 쳐주면 대박인데ㅋㅋ

근데 목요일 동생 학교가는건 갈수 있으려나?"
나 혼자만 레벨업 - 웹소설 | 카카오페이지,"베르:도전해보겟습니다
총군단장:덤비거라하등한것
베르:간다 미개한족속
진우:둘다닥쳐 열등한것들아"
나 혼자만 레벨업 - 웹소설 | 카카오페이지,군대가시는 독자분 약속은 지켰습니다 안녕히 다녀오세요!
나 혼자만 레벨업 - 웹소설 | 카카오페이지,아버지도 렙업하는 사람이면 책 제목은 우리 부자만 레벨업
나 혼자만 레벨업 - 웹소설 | 카카오페이지,"나의 주군이시여!
My lord!
私主君よ!
我的主啊！
Mein Herr!
Эзэн минь!
हे भगवान!
Мой господин! 
Monseigneur!
يا سيدي!"
나 혼자만 레벨업 - 웹소설 | 카카오페이지,한국 헌터협회 회장실을 잘못봐서 한국 헌터협회 화장실로봄ㅋㅋㅋㅋㅋㅋ 고건희회장님이 왜 화장실에서 업무를 보고계신가 이 생각하다가 혼자빵터짐ㅋㅋㅋㅋㅋㅋㅋ
나 혼자만 레벨업 - 웹소설 | 카카오페이지,와 진짜ㅠㅠㅠㅠ다 기억하는구나ㅠㅠㅠ
나 혼자만 레벨업 - 웹소설 | 카카오페이지,시박것 그럼 저거 다 진우거?
나 혼자만 레벨업 - 웹소설 | 카카오페이지,셀너 부인 : 성진우 헌터께서는 한계가 존재하지 않으십니다
나 혼자만 레벨업 - 웹소설 | 카카오페이지,"갑자기 여기저기서 폰이 울려 대기 시작했다.
""뭐지?""
처음에는 황급히 전화를 껐던 독자들도 이쯤되자 뭔가 이상하다는 사실을 눈치챘다.
알람 내용을 확인한 독자들의 눈이 커졌다.
""추공이 연참을 했다고?""
독자들은 급하게 카카오페이지로 들어갔다.
그러자 사전에 준비해 뒀다는 듯이 비축분과 공지가 떠있었다.
         <공지> 
추공#납치#성공적"
나 혼자만 레벨업 - 웹소설 | 카카오페이지,월요일 개강인데 배뎃이된다면 학교바지벗고 등교하겠습니닷
나 혼자만 레벨업 - 웹소설 | 카카오페이지,"'망햇어요'
공허한 목소리가 울려퍼졌다.

추공은 시계를 보앗다.
11시46분

이미 독자들의 분노를 예상하며 몸을 떨었다.

문이 열리며 독자가 들어오고 추공은 자신의 끝을 직감했다.


그리고 눈을 감았다.
그러나.

""이럴수가! 추공이 휴제를 안했어!""
""추공 만세!나혼업 꿀잼!""

처음 들어보는 따듯한 목소리.
추공의 두 눈에는 이미 눈물이 흘렀다."
나 혼자만 레벨업 - 웹소설 | 카카오페이지,"이보시게 작가양반
자네 싸움잘하는가? 여기서 끊는건
줘터지고싶다는건데 
자네가 무슨 무신인가?소드마스터인가?
여래신장이라도 익혓는가?"
나 혼자만 레벨업 - 웹소설 | 카카오페이지,"""잠시 저 좀 보시죠.""
추공이 가던 걸음을 멈추고 돌아보았다.
'이 남자가 추공..'
추공의 얼굴을 들여다보던 독자의 눈이 빛났다.
눈만 마두쳤는데도 추공의 필력을 알 수 있었다. 틀림없는 최상급 작가. 내일을 기다릴 여유따윈 없었다.
독자는 음흉한 미소를 지으며 말했다.
""연참시 한 편당 200.""
""거절한다.""
""왜지?""
""편당 1000이하는 가라."""
나 혼자만 레벨업 - 웹소설 | 카카오페이지,안녕하세요 추굥입니다
나 혼자만 레벨업 - 웹소설 | 카카오페이지,지배자들이 광휘의 파편들이라 불리는 이유는 간단합니다. 절대자가 빛(광휘)을 쪼개 그들을 만들었기 때문입니다. 다들 즐거운 주말 보내시길 바랍니다!!
나 혼자만 레벨업 - 웹소설 | 카카오페이지,????
나 혼자만 레벨업 - 웹소설 | 카카오페이지,"진우의 그림자 병사들은 지금 최소가 A급 헌터 상위급일텐데 특히 정예기사 이상인 이그리트나 어금니, 베르는 S급 헌터고 마력이 허락하는한 무한히 회복하기에 이미 진우는 혼자서 대한민국 헌터 전원을 합친 것 보다 강한데 그리고 거인적 하나라도 죽이면 그 다음은 그림자 병사로 만들어서 반복하면 끝"
나 혼자만 레벨업 - 웹소설 | 카카오페이지,글자 크기 좀 줄여봤는데 어떠신가요? 의견이 궁금합니다!!
나 혼자만 레벨업 - 웹소설 | 카카오페이지,황동수 웃기는 놈이네. 지 형 죽은 놈은 죽일놈이고 지형이 죽인건 그럼 뭐냐? ㄷㄷ
나 혼자만 레벨업 - 웹소설 | 카카오페이지,"작가님이 자꾸 솔플 길드를 강조하시는 것 같은데 사실 '솔로 플레이' 길드가 아니라 '솔로들의 플레이라운드'의 약자인 것 같은데..
결론 : 작가는 대마법사로 추정"
나 혼자만 레벨업 - 웹소설 | 카카오페이지,"이게 0화가 된 김에 여기다가 선발대가 댓 남깁니다. 지금 보면 후회합니다.









'좀 더 나중에 볼껄...' 하면서 후회할걸요?"
나 혼자만 레벨업 - 웹소설 | 카카오페이지,웹툰 런칭 기념 후일담 연재가 종료되었습니다. 짧은 시간이지만 독자분들과 다시 만날 수 있어 정말 기뻤습니다. 저는 조만간 신작과 함께 돌아오겠습니다. 그때 다시 웃으며 뵈어요!!
나 혼자만 레벨업 - 웹소설 | 카카오페이지,1
나 혼자만 레벨업 - 웹소설 | 카카오페이지,"평생 보기위해 전권을 소장권으로 구매한
사람 입니다 외전끝나기 전에 베댓 한번만
하게해주세요"
나 혼자만 레벨업 - 웹소설 | 카카오페이지,일본에서 발견된 백색 성채ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
나 혼자만 레벨업 - 웹소설 | 카카오페이지,이해가 안 되시는 분들은 다음 화를 보시면 알게 됩니다!! 뒷부분까지 다 넣기에는 분량도 시간도 부족했습니다 ㅠㅠ
나 혼자만 레벨업 - 웹소설 | 카카오페이지,"1주일전에 생일이였던 사람입니다
아직도 알림이 울려요....."
나 혼자만 레벨업 - 웹소설 | 카카오페이지,헐
나 혼자만 레벨업 - 웹소설 | 카카오페이지,"동네를 순찰하던 그림자 병사는 지나가던 고건희에 의해 소멸된지 오래였고 진우는 그림자 속에서 벗어나지 못하고 죽고 만다.
-the end-
작가의 말 : 지금까지 '나 혼자만 레벨업'을 사랑해주셔서 감사합니다. 다음주는 외전이 연재됩니다."
