번호,작성자,작성일,댓글,회차,좋아요,대댓글수
25,..,21.09.29,"문피아에 작가 공지 올렸더만 카카오 새끼들 일을 안하네.

안녕하세요 서마입니다.
추석연휴 이후 연재가 재개되지 않아서 고자 일족의 동반자 여러분이 계신줄로 압니다.
죄송합니다.
검사, 대기, 검사, 대기는 여전히 반복 중이고요.
가족 소유의 자동차 대리 매도 등 자산을 정리하고 있습니다. 거기 더해서 본가의 집기류 배출등 미리 할 수 있는 신변정리를",절륜환관 263화,24,3
26,연록흔好,21.02.18,"내기는 제가 증명하겠씀다.
분명히 제가  읽었고 페이지수도 기억합니다😂😂",절륜환관 90화,22,6
27,mk,21.02.24,"진짜 이분 첫작품이라는게 안맏겨짐.
전개 하나하나가 치밀하고
필력이 장난아님.
시뱡 고자를 멋있다고 느껴지게 하니
말 다했지..",절륜환관 119화,21,1
28,aktnfl7973,21.02.19,와 씨 거의 내시 본인이 쓴글같은데 ㄷㄷㄷㄷ,절륜환관 48화,21,댓글 달기
29,정정아,21.02.17,고자만드는 검성...이건 뭐 천하제일인보다 더 무서운데....,절륜환관 33화,20,댓글 달기
30,제갈승계,21.03.16,"파티장도 아니고 심각한 순간에 밖에서 제갈가 도착했다고 동네방네 고한자가 누구인진 모르겠으나
이 글에서 정황상 황제의 말을 중간에 잘라먹고 살 수 있는 유일한 직업 아닐까?",절륜환관 135화,19,댓글 달기
31,곰꿀이,21.02.19,내 살다살다 ㅈ 도없는 고자들 이야기에 돈을 쓸줄이야.....자까양반 좋게 말할때 연참하시오 북진무사 뇌옥에 끌려가기 싫으시면,절륜환관 113화,19,3
32,죄송합니다...,21.02.18,킬(kill)요옷!,절륜환관 69화,18,2
33,느린걸음,21.08.11,"예전부터 느꼈던 거지만, 절륜환관은 서술이나 연출 등이 연극을 떠올리게 하는 데가 있습니다.

대사를 칠 때나 심리묘사 등에서 스포트라이트나 풋라이트가 비추는 것과 같고 일제히 같은 목소리를 내는 부분은 코러스 같다는 느낌을 종종 받습니다. 여러모로 흥미로워요.",절륜환관 240화,17,3
34,1020choi44,21.02.21,다음작품의  제목은 회귀한  사공천수의  고자왕도전기로  복수물입니다,절륜환관 94화,17,3
35,방구석골램,21.02.16,근데 지금은 정2품을 무릎 못 꿇게 하자너...,절륜환관 4화,17,1
36,애플파이,21.02.16,"완전한 규화보전이면 머하냐?
애초 음양인을 위해 만든건대? ㅋㅋ",절륜환관 2화,15,댓글 달기
37,철학자.G,21.02.16,애잔한 고자야,절륜환관 1화,15,댓글 달기
38,검이,21.02.21,"작가님 이야기 전개상 목소리 탓하시는건 알겠지만
변성기가 16살 전후로 일어나고 그 이후에 거세한 사람은 목소리가 얇아지지는 않는다고 역사 사료에 나와있어요
대부분 환관들이 목소리가 얇지만 몇몇 이들은 목소리가 굵고 힘이 장사였다고 기록에 나옴",절륜환관 112화,14,2
39,연록흔好,21.02.18,"이정도면 아부가 신화경이야
ㅋㅋㅋ",절륜환관 91화,14,댓글 달기
40,연록흔好,21.02.17,작가가 알렸을껌다,절륜환관 24화,14,6
41,현국,21.07.30,이건 글이라기에 미안한 수준이지.. 유치한건 팩트고. 이런 습작들이 왜 올라오고 점수를받는지 몰랐었는데 이걸보고 재밋어하는 안목낮은 분들덕분이었다는걸 오늘 깨달았네,절륜환관 9화,13,10
42,선생,21.02.22,이러면 안되는데 자꾸 환관들이 멋있어 보이네.,절륜환관 48화,13,댓글 달기
43,두꺼비,21.02.21,"이렇게 재밌는 글이 '유치하고 습작 수준'이라고...?

댓글 다신 분, 안목이 너무 높은 것 아뇨?

저더러 이런 글 써보라고 하면, 몇 년을 습작하며 시행착오 거쳐야 할지 감이 안 잡히는 데...",절륜환관 9화,13,댓글 달기
44,벚꽃지는날,21.02.17,"하긴... 황제의 신임과 환관계 전체를 꽉 잡은 왕진과 암살 운운할 정도로 대놓고 척을 진 주제에 동창 2인자까지 올라갔다길래 대체 얼마나 대단해야 그게 가능하나 했더니...
저 정도는 됐으니 최고권력자 눈밖에 나고도 거기까지 올라간거겠지..",절륜환관 61화,12,1
45,곰탱,21.02.17,사실 제일 나쁜건 고자도아니면서 고자인척하면서 고자를 부려먹는 진명아닐까,절륜환관 39화,12,1
46,재밋겠다,21.07.14,ㅋㅋㅋㅋ 화경 한명이 화경 3명 있는곳으로 태연하게 가네. 넌 낼 죽었다,절륜환관 221화,11,3
47,ㅇㅅ76,21.06.27,징징거리는것도한두번이지매편마다징징거리는사람있네 안맞으면 그냥하차해..한두번까지는그렇구나하고넘기는데매편마다 저♩♩♩~니까 짜증나네,절륜환관 209화,11,댓글 달기
48,무늬과,21.06.07,주인공의 진퇴와 관련된 사안에서 이 정도 진행으로 느리다고 하는 건 어불성설인 듯. 이전에 무당파 도사랑 자광겸단 싸울 때가 진정 의미없게 진행이 느린 거였죠,절륜환관 198화,11,댓글 달기
49,09,21.02.18,없어서 공기저항이 적대 ㅋㅋㅋㅋㅋㅋ 수십만 탈모인과 일만 고자들 ㅜㅜ,절륜환관 34화,11,댓글 달기
50,세월은구름처럼,21.02.17,와 문피아에서 봤을때는 내용이 좀많네 싶었는데 카카페로 편수보니깐 그냥 200원이라도 ㄱㅊ을듯 거기에 내용까지 재밌고 솔직히 명작이라 생각함,절륜환관 111화,11,1
51,귀차니즘,21.07.27,전에 허공이 금의위 2인자가 포함된 최정예들을 한방에 갈아버릴수 있다고 언급됐는데 그럼 화경은 금의위쪽은 그냥 압살한다고 보고 10위 살수단체가 금의위보다 센거네 1~10 위 살수단체 다모아서 그냥 황궁가서 영락제 목따면끝 이 간단한걸 수천계는 왜 못하죠? 제갈세가에 당문에 고위대신들도 쉽게 포섭하면서,절륜환관 230화,10,댓글 달기
52,ArtLover,21.03.08,"와~~~이씨
전생에 고자인줄 어찌알았을까 😆😆",절륜환관 33화,10,댓글 달기
53,선생,21.02.22,동창 별빛이 내린다  샤라라라라라,절륜환관 69화,10,댓글 달기
54,하늘위푸른바다,21.02.22,사람 잘못봤습니다. 저흰 역도가 아니에요 그냥 지나가던길이었어요.,절륜환관 116화,10,1
55,Crocus,21.02.19,"이야~ 사이다네 ㅋㅋㅋㅋㅋ
환관일족이 이렇게나
끈끈할 줄이야... ㄷㄷ하구만...;",절륜환관 32화,10,댓글 달기
56,늘푸르른남자,21.02.17,물건값은 왜...,절륜환관 32화,10,2
57,렛서,21.02.17,이새끼 아랫도리 복귀식을 대비해서 미리미리 미녀들한테 사전작업하는거 보소 콱 마,절륜환관 47화,10,1
58,신의버섯수,21.02.17,끼.....요...옷?!,절륜환관 44화,10,1
59,mk,21.02.16,이거 나온 거 다본 선발대입니다.,절륜환관 1화,10,8
60,세월은구름처럼,21.06.08,이건 한번에 보면 명작인데 한개씩보면 전개도 느린거 같고 내용이 얼마안가서 뚝뚝 끊긴당 내가 너무 사이다에 쩔은건가,절륜환관 199화,9,2
61,어어여어도도도도,21.05.22,와 ㅋㅋㅋㅋ 동방불패 임청하 진짜 어렸을때 영화채널에서 동방불패 봤었는데 추억이네 작가님 대단!!,절륜환관 187화,9,댓글 달기
62,돈까스,21.03.31,"역적쉑들 혓바닥 긴거보소ㅋㅋ

역모에 장원살던사람 몰살시키고 친족들까지 죽였으면서 말하는것만 보면 억울하게 누명쓴 충신같이 말하네

""손은 차갑지만 정은 따뜻했다"" 그 따뜻한 정은 자기가 죽인 조카들한테는 적용이 안되냐ㅋㅋ",절륜환관 151화,9,댓글 달기
63,반쪽날개,21.02.23,아 지능캐 너무 좋다,절륜환관 95화,9,댓글 달기
64,후우룩,21.10.08,정파들이 드글드글 하는 지역에 사파 무력대들이 황궁부터 시작해서 동해번쩍 서해번쩍 제집마냥 왔다갔다 하네,절륜환관 268화,8,댓글 달기
65,우리가게,21.07.27,아무리 포위 당하고 보호할 사람들이 있다곤 하지만 화경고수2명이 포함된 구성으로 처리 못하고 남궁까지 부르나….,절륜환관 230화,8,댓글 달기
66,귀차니즘,21.07.27,아니 화경이 엄청나게 희귀한 거라더니  무슨 1위도 아니고 10위 살수단체가 화경도 감당할수있다고 큰소리를 치죠? 그럼1위살수는 황제 목도 딸수있겠네 그리고 정보도 제대로 조사안하는 10대 살수??,절륜환관 230화,8,댓글 달기
67,셀세타,21.06.28,이제 좀 강해졌다싶었더니 어디선가 숨어있던 화경급 고수들이 동네 양아치들 마냥 튀어나오는건 아니겠지?,절륜환관 210화,8,1
68,도비도비,21.06.23,"본인은 하차한다 어쩐다고 댓글 다는 이유를 모르겠음
나도 더 보고 싫은 소설은 그냥 안보는데 굳이 주저리주저리 읊고 안봐용 저가용~ 이러는 이유가 뭐지?
(진짜모름)",절륜환관 206화,8,댓글 달기
69,곽거병,21.05.28,여러분은 가해자가 순식간에 피해자로 둔갑하는 상황을 보고 있습니다,절륜환관 192화,8,댓글 달기
70,써니,21.04.20,판타지물을 보다보면 처음에는 재미있어 계속 보게 만들지만 중반쯤 가다보면 늘어져버려서 읽고싶지가않게되네요. 이 글도 특이한 소재고 눈길을 끌게만들었지만 역시나네요.,절륜환관 166화,8,댓글 달기
71,심숭,21.04.18,너무끌었다기보단 애초에 이 작품 스타일이 세세한 심리 묘사를 통한 긴장감을 주는거 아닌가,절륜환관 148화,8,댓글 달기
72,不如帰,21.02.28,"아예 틀린 말도 아닌 것이, 수 틀리면 여기 있는 전원 죽이라고 배째듯이 나오는 건 이치에도 안 맞고 신하로 할 일도 아니지 싶음. 잊을 만하면 한 번씩 환관 일족들 합창하는 게 나오는데, 한 두 번은 간지나게 보일지 몰라도 슬슬 뇌절기가 보이는 데다 황제 앞에서 시위를 하는 거 자체가 무리수로 보임.",절륜환관 122화,8,1
73,도미니꼬13,21.02.26,"전편에 내용이 좀 생략된거 같은데...
벼슬이야기는 몰라도 암어는 너무 생략된거 같네",절륜환관 121화,8,댓글 달기
74,셀세타,21.02.26,비축분있으시면 부디 연참이나 일괄해제한번 했으면 좋겠음 그리고 카카오는 홍보좀해라 이 좋은글 이대로 보내긴 아까울정도임,절륜환관 120화,8,댓글 달기
75,코르데리아,21.02.23,"환관에 감동하다니...에잇...ㅡㅡ
자존심상해ㅎㅎㅎ",절륜환관 75화,8,1
76,밴드,21.02.22,이번화 남우정 요약,절륜환관 116화,8,댓글 달기
77,우르산대공,21.02.19,진정한 하늘을 위한답시고 충신의 자손이고 뭐고 이용하고 죽이는 넘들이 나라에서 관료직 맡으면 잘도 백성들 사정 살피겠다 슈렉앞집 늪에 잠겨있는 물체같은 넘들,절륜환관 62화,8,댓글 달기
78,우르산대공,21.02.18,고자간지천하작살 무적경 무고추 종종종지보 군림심영~,절륜환관 38화,8,2
79,IJ,21.02.18,자까님 hoxy?,절륜환관 78화,8,댓글 달기
80,로리는싫다,21.02.17,이렇게 내시글의 권력투쟁이 뚜렷한 소설은 거의 본적이 없었어,절륜환관 16화,8,4
81,연록흔好,21.02.17,이런 천하제일의 대(大)고자가  있나!,절륜환관 33화,8,댓글 달기
82,Wonderland,21.11.13,"작가님,
가족 중이 아픈 사람이 생기면 어떤 상황이 벌어지는지 알만 한 분들은 다 알 것입니다. 처음엔 회복만을 기원하며 걱정과 안타까움만이 가득하지만 현실에서 해결해야 할 새로운 일들을 접하다보면 지쳐가게 되죠. 몸과 마음이 한계에 부딪치기 전에 휴식을 주어야 합니다.  아픈 가족뿐 아니라 다른 가족 그리고 자신을 위해 필요하죠. 응원하겠습니다~",절륜환관 279화,7,댓글 달기
83,..,21.09.16,이 소설은 호흡이 긴 소설임. 솔직히 책으로 보는게 소설 이해와 재미를 극대화 할게 분면함. 내용을 질질 끌고간다는 분들은도 이해는 가나. 전개가 너무 빠르고 상황묘사를 간략히 한다면 지금보는것처럼 긴장감이 사라지게 될거임. 그럼 이 소설의 재미가 반감된다고 생각함.,절륜환관 261화,7,댓글 달기
84,ㅏㅂuqixoos,21.09.15,보통 무협에서 황제가 영락제고 명나라 초창기면 건국 도와준 애들말고는 다 눈치봐야 정상일텐데..1급 공무원을 저렇게 몰아칠수가있나 ㅋㅋㅋ 신기하네,절륜환관 260화,7,댓글 달기
85,달조,21.08.24,"작가님 가족중 한명이 암으로 투병중이랍니다.
그래서 연재가 주5회 이상하는건 많이 어렵다그합니다 카카오페이지에는 다들 모르는것같으니 글 적어봅니다",절륜환관 248화,7,댓글 달기
86,ijklds922,21.08.17,음 전 살짝 오버한 느낌이드네요. 딱히 중요한 인연으로 나왔던거도아니고 갑자기 인연만들어서 두 아이를 구하는데 황명이 계속나오고. 좀 어거지같은 느낌. 이 이야기전에 하나도 모르던 인물들이라 정이ㅡ가지도 않고.,절륜환관 244화,7,3
87,ICHLIEBEDICH,21.08.14,내시 21세기 작가로 환생하다?,절륜환관 48화,7,댓글 달기
88,Damon,21.08.13,크으으으으으 고자뽕에 취한다아아앗,절륜환관 242화,7,2
89,여신,21.08.13,"이 소설에 가장 많이 쓰이는 단어는 ""고자""다",절륜환관 35화,7,댓글 달기
90,흑염룡,21.08.03,"근데 장진명이
거시기만 숨긴게 아니라
얼굴도 바꾼거였어요?",절륜환관 72화,7,1
91,쿠사쿠스,21.06.20,한번 더 때라고는 안하네,절륜환관 204화,7,4
92,ㅇ0ㅇ,21.04.13,적은 분량 같은 소리 하네 너무 재밌어서 양이 적은 느낌이라고 썼으면 뭐라 안 하는데 50장 가까이 되는 분량 보고 적은 분량 ㅇ♪♩♩♬ 작가님 맘이 어떻겠냐,절륜환관 161화,7,댓글 달기
93,루스tel,21.03.10,"저는 어제 처음 달리기 시작했네요~
처음 런칭할때 제목보고 안달린1인입니다 ㅋㅋ
지금은 제목보고 ♡♡ 날리고 있어요 ㅋㅋㅋ
좋은점은 앞서 달린 독자님들보다 볼게 많았다는것~^^
함정은 130화..이틀만에 끝났다는것~ㅜㅜ
많이들 보셨으면 해서 1화와서  다시 댓글 남기는중입니다~ 함께 달려욧ㅅㅅ",절륜환관 1화,7,2
94,인생,21.02.28,"글 다시 쓰라는건 쫌..선 많이 넘네..
그냥 안보면 되는거 아닌가?
그래도 열심히 쓰시는 작가님인데..
그리 말할거면 거 님이 글 써보소 쉽나.ㅋ",절륜환관 122화,7,댓글 달기
95,미선킴,21.02.28,작가님 흔들리지 말고 쓰세요 ㅎ 조사 많이하신 것 같으신데 자기가 모르면 억지다 무리수다 하는이들 신경쓰다보면 작가님이 생각하신 글 안나올수 있어요 ㅎ 화이팅입니다 작가님,절륜환관 122화,7,댓글 달기
96,선생,21.02.25,"아니!!!  이게 책이야 이게 책이냐고
와아아아 소름이다 소름이야
절륜환관. 회귀한 환관은 없는 게 없다",절륜환관 95화,7,댓글 달기
97,경4로구만,21.02.23,"와 패이지 수가 적은것도 어닌디 순삭이네
명필 이시오",절륜환관 118화,7,댓글 달기
98,yeohaklee,21.02.23,"제갈수향을 굳이 구할이유가
있었을까?? 어차피 반역에 동조한세력인데,미끼로 쓰거나 정보를 얻기위함인가?!!",절륜환관 86화,7,2
99,푸킵푸킵,21.02.22,읽다가 내꺼 잘 달려있는지 만져보게 되는 소설,절륜환관 32화,7,1
100,선생,21.02.22,"듣겠다.
예이이  비직 전부 진명 귀비를 인공호흡으로 살렸습니다.
알겠다 싹둑.  전부 진명 진짜 다시 고자되다. 진짜환관 베스트셀러",절륜환관 45화,7,댓글 달기
101,김명환,21.02.21,오ㅏ 진짜 대박이다 이작품. 글에 내공이 느껴짐. 현경 끝자락이 느껴짐 ㅋㅋㅋ,절륜환관 97화,7,댓글 달기
102,피에로,21.02.20,내가 살다 살다 고자새끼 이야기를 기다릴줄이야...연참빨리해주시오,절륜환관 114화,7,댓글 달기
103,수산시험장,21.02.19,고자신공이 빛을 내는구먼,절륜환관 68화,7,댓글 달기
104,우르산대공,21.02.19,고자공화국61화 ㅡ고자가 고자에 시위를 걸매 고자일족이 환관동일체 하여 무릎꿇고 경악하더라.이에 왕자 ㅈㅣ족의 주첨학이 오금이 후들후들하고 꿈에 선 자리에서 오줌좔좔콸콸 하염없이 실금하더라,절륜환관 61화,7,댓글 달기
105,Bob_Bibim,21.02.18,아...ㅋㅋㅋㅋㅋ 다잡은 영단을 상사가 걷어차버리네 ㅋㅋㅋ,절륜환관 28화,7,댓글 달기
106,원미동시인,21.02.18,ㅉㅉ 글이~~어째 유치하고 습작같다.  전개가 억지스럽고~~무료에서 하차...,절륜환관 9화,7,댓글 달기
107,연록흔好,21.02.18,"환관들의 의리가 상상초월이네요
성격은  흡사 갱년기를 겪고있는 우리네 성격이랑  비스무리하고 😁😁",절륜환관 78화,7,댓글 달기
108,IJ,21.02.17,동병상련 환관세계가 너무 멋있네요,절륜환관 48화,7,댓글 달기
109,mck,21.02.16,"딴곳에서보다가 여기서 이어보니 멍이득ㅋ
일단 고자소설중 재미있습니다  ㅎ",절륜환관 79화,7,3
110,느린걸음,22.05.31,"뭐라 말하기 참 난감한 결말이네요.

작품을 내던질 정도의 개인사정이 생긴 게 아니길 바랍니다.",절륜환관 366화,6,댓글 달기
111,유한,21.11.08,"연재초부터 쭉 보고있는 독자입니다.
지금은 가족분 챙기는 것이 최우선이니 연재때문에 쫓기는 마음은 갖지 않으셨으면 합니다. 절륜환관이 작가님에게도, 독자들에게도 아쉬움 없는 작품이길 바랍니다.
언제가 됐건 본인도 주변도 잘 추스르신 뒤 편안하게 연재 재개!만 해주시면 됩니다. 힘내세요 작가님~",절륜환관 279화,6,댓글 달기
112,셀세타,21.09.15,아무리 의심을 가진다해도 저것들이 단체로 미친게 아니구선 황실을 너무 물로보는거 아닌가? 너무 극단적으로 이리저리들 휩쓸리는것처럼 보여서 뭔가싶네,절륜환관 260화,6,댓글 달기
113,귀차니즘,21.07.27,전반적으로 밸런스가 이상...예전엔 구파 말석인 해남파 일개 검대가 동창 정예한테 안밀리더니,절륜환관 230화,6,댓글 달기
114,셀세타,21.06.23,저는 개인적으로 장진명 vs 문관 vs 영락제 그리고 중립진영과 아직 나서지않고있는 환관일족등등 이 치열한 수싸움이 오가는 설전이 결코 지루하거나 스킵할 대목이 없다는쪽에 한표 거듭니다 다만 아쉬운건 한편씩 끊어 읽고있는거뿐 후발대로 이대목 읽고있었다면 숨도 못쉬고있을듯,절륜환관 206화,6,댓글 달기
115,05,21.06.08,이 작품 초반처럼 색마니 뭐니하는 애들나오고 흡성공같은거로 절정 초절정 화경 같은 뻔한 무공수위 나오고 1갑자2갑자3갑자 뻔한 내공량 나오고 다른 회귀물들처럼 기연 줍줍하러 다니고 뻔한 구파일방 오대세가 마교 사파 무림맹 등등 나오는 것보단 지금처럼 가는게 이 작품 맛이 사는 길일듯. 근데 너무 대화로 내용 끄는 건 좀 아쉬운 느낌이네요 제갈세가때부터...,절륜환관 198화,6,댓글 달기
116,정영기,21.04.27,섯네 섯어 빨딱섯네 ㅎ 여자가귀에 바람만불어도 그놈은 건방지게 대가리를 쳐들지,절륜환관 172화,6,댓글 달기
117,곽철용,21.04.20,솔직히 초반에 비해 지금은 좀 과하게 늘이는 것 같긴 함,절륜환관 166화,6,댓글 달기
118,정영기,21.04.20,쪽수는많은데 뭔가계속 제자리를 맴도는느낌임 앞으로좀 전진좀합시다,절륜환관 166화,6,댓글 달기
119,정영기,21.03.29,수향이땡잡았네 한마디,절륜환관 149화,6,댓글 달기
120,엘멜로이,21.03.25,"죽은 자녀에 대한 원한+머지 않은 미래에 이대로면 말라죽는다는 팩트+첩실 소생으로 그동안 쌓여온 울분 등등 덕에 저런 선택을 하지 않았나 싶네요. 가문 전력이 반토막 나는건 피할 수 없게 되었지만 목숨값+복수+가주자리 라는 대가는 그걸 감당할 수 있게 했다고 봅니다. 무림에서 뭐라고 욕할지는 몰라도, 이미 이쪽은 대가 치른 뒤라 여차하면 직계 옹호하는",절륜환관 145화,6,댓글 달기
121,04,21.03.23,작가님이 길게 쓰시는 걸 알고 있는데도 한 장 넘길때마다 끝날까봐 살떨리네용,절륜환관 142화,6,1
122,mk,21.03.16,"이 정도 분량에 이 정도 퀄리티면
조금 늦어도 인정.
평점테러하는 인간들은 뭐여",절륜환관 136화,6,1
123,세월은구름처럼,21.02.28,개꿀잼 맨날 칼들고 싸우는 무협만 보다가 혀로 싸우는 무협도 재밌네 대체역사도 봐볼까?,절륜환관 122화,6,댓글 달기
124,yeohaklee,21.02.24,"진명이하는일을보면 전생의
삶에서 필요했던가 중요한것을,미리미리 선점해서 체계를구축하고, 인재를 발굴함에있어서,신뢰를받을수있게 행동한다.",절륜환관 119화,6,댓글 달기
125,푸킵푸킵,21.02.22,과거 현실에도 이렇게만 했었으면 왕이 환관을 안좋아할래야 안좋아할 수가 없었겠네 ㅋㅋㅋㅋ,절륜환관 91화,6,댓글 달기
126,맙법,21.02.22,이야 사장이 지자식 살린다고 회사 말아먹었네,절륜환관 35화,6,댓글 달기
127,YONG,21.02.21,내시가 아녀자의 방심을 흔드네요,절륜환관 48화,6,댓글 달기
128,우르산대공,21.02.21,아니 너무 고자일족 환타지스럽게 멋짐 갖다 붇는 거 같네 슬슬 부담스럽다 예전 드라마조폭 너무 화사하고 의리 멋있게 묘사해 지원하는 이도 있을 정도라 했는데 이러다 거세하려는 성범정치개  나올라,절륜환관 78화,6,댓글 달기
129,우르산대공,21.02.19,빨..빨리  곤음설련실을...어서..완전체를 이루어야...,절륜환관 71화,6,댓글 달기
130,연록흔好,21.02.18,"아호 살벌합니다
환관일족들의  똘똘뭉침의  상상을 초월하는군요",절륜환관 64화,6,댓글 달기
131,연록흔好,21.02.18,내시환관 교육이수하신게  틀림없네,절륜환관 48화,6,댓글 달기
132,신의버섯수,21.02.18,끼.요.옷.!!,절륜환관 83화,6,댓글 달기
133,신의버섯수,21.02.18,매너가 사람을 만든다,절륜환관 81화,6,1
134,IJ,21.02.18,마지막 대사는 쫄리면 뒈지시던가 를 붙이면!!,절륜환관 92화,6,댓글 달기
135,신의버섯수,21.02.17,끼.요.옷.!!,절륜환관 65화,6,3
136,신의버섯수,21.02.17,끼요옷 ^^7,절륜환관 50화,6,댓글 달기
137,gfssddd,21.02.17,와 ㅋㅋㅋ 소름..,절륜환관 67화,6,댓글 달기
138,종합병원,21.02.17,억 소름ㅋㅋㅋㅋㅋㅋ강시떼같다;;;;;,절륜환관 69화,6,1
139,깡호,21.02.16,진짜 주인공이 만능인 설정인건 왠만한건 그러려니 하고 보는편인데 무협에서 흡성대법이나 복리이자 심법같은건 좀 벨붕에 설정붕괴가 너무 많아서 거르는 편인데 ..,절륜환관 6화,6,3
140,야한리키69,21.02.16,저래 행사하면 세금이. 주르륵,절륜환관 50화,6,2
141,하늘위푸른바다,21.02.16,크흑 문피에서 결제해서 보던걸 여기서보다니 행뽁. 작가님 화팅  이소설 보면 가숨이웅장해지고 재미짐.,절륜환관 109화,6,댓글 달기
142,방구석골램,21.02.16,무협지에서 기녀등은 무공을 일류수준정도 익히는것이 클리셰,절륜환관 3화,6,1
143,가가갈,22.06.16,"작가님..혹시..고..ㅈ.ㅏ는 아니죠..??
너무 설득당하는데ㅜㅜ",절륜환관 48화,5,댓글 달기
144,.....,21.11.03,휴재는 상관 없습니다 작가님...제발 나중에 꼭 돌아와서 완결내주세요... 요즘 ㅇ연중하는작들이 너무많아....ㅜㅜ,절륜환관 279화,5,댓글 달기
145,무진,21.08.18,뭐 딴지라 느낄수 있겠지만 매번 황명또는 천자 애기할때 마다 그권위를 일일이거창하게 열거하니 귀에 못박히겠소??? 라~~~~라~~~ 그리고 고자들의 복창소리에 내 백원이 쪼그라드는 느낌ᆢ솔직히 재미는 있어 계속볼테니 거친 태클은 하지 마시길ᆢ애궁 나도 말이 길다^^::::::::::,절륜환관 244화,5,댓글 달기
146,silk,21.08.15,어우..뭔가 뭉클했네요. 갑자기 눈이 시큰~~ 하하,절륜환관 75화,5,댓글 달기
147,silk,21.08.12,대단한 작품을 쓰신 작가님들이 보러오셨나봐요~~  전 글 나름 재미있어요. 제가 수준이 낮은가보죠 뭐... 그리고 글 초반에 재미있네 마네 하는건 아니라고 봐요. 좀 더 읽어보고 평가하심이 맞을듯해요. 그리고 카카페에는 엄청나게 많은작품들이 있어요.,절륜환관 9화,5,2
148,냥냥펀치~,21.08.10,미사여구가 많아서 그런지 분량은 있는데 내용이 너무 늘어지고 진도가 안나감 그래도 잘쓴 글이라고 생각함 돈낼테니까 연참해주세요,절륜환관 239화,5,댓글 달기
149,icloud,21.08.09,와…작가 미쳤다.,절륜환관 93화,5,댓글 달기
